                                                  Total Goals by Team

  Obs            team  goals_team1  goals_team2  total_goals
    1  FRANCE                   11            5           16
    2  ARGENTINA                11            4           15
    3  ENGLAND                  10            3           13
    4  PORTUGAL                 11            1           12
    5  NETHERLANDS               8            2           10
    6  SPAIN                     8            1            9
    7  BRAZIL                    7            1            8
    8  CROATIA                   7            1            8
    9  GERMANY                   1            5            6
   10  MOROCCO                   1            5            6
   11  GHANA                     0            5            5
   12  JAPAN                     3            2            5
   13  KOREA REPUBLIC            4            1            5
   14  SENEGAL                   0            5            5
   15  SERBIA                    2            3            5
   16  SWITZERLAND               1            4            5
   17  AUSTRALIA                 1            3            4
   18  CAMEROON                  4            0            4
   19  ECUADOR                   1            3            4
   20  IRAN                      0            4            4
   21  COSTA RICA                2            1            3
   22  POLAND                    2            1            3
   23  SAUDI ARABIA              1            2            3
   24  UNITED STATES             1            2            3
   25  CANADA                    1            1            2
   26  MEXICO                    0            2            2
   27  URUGUAY                   0            2            2
   28  BELGIUM                   1            0            1
   29  DENMARK                   0            1            1
   30  QATAR                     1            0            1
   31  TUNISIA                   1            0            1
   32  WALES                     0            1            1

